skit_id;playlist_id
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
12;2
13;2
14;2
18;2
19;2
20;2
21;2
22;2
23;2
24;3
25;3
26;3
27;3
28;3
29;3
30;3
1;3
2;3
3;3
15;4
16;4
17;4
18;4
4;5
5;5
6;5
7;5
8;5
9;5
10;5
11;5
12;5
13;5
14;6
15;6
16;6
17;6
18;6
19;6
20;6
21;6
22;6
23;6
24;7
25;7
26;7
27;7
28;7
29;7
30;7
1;7
2;7
3;7
4;8
5;8
6;8
7;8
8;8
9;8
10;8
11;8
12;8
13;8
14;9
15;9
16;9
17;9
18;9
19;9
20;9
21;9
22;9
23;9
24;10
25;10
26;10
27;10
28;10
29;10
30;10
